HP:0001667	MP:0006391
HP:0003961	MP:0011057
HP:0100456	MP:0010434
HP:0012070	MP:0001763
HP:0003248	MP:0002147
HP:0100050	MP:0009537
HP:0001011	MP:0008194
HP:0011694	MP:0008685
HP:0007935	MP:0004126
HP:0012485	MP:0001694
HP:0003079	MP:0001554
HP:0008752	MP:0003483
HP:0011797	MP:0004488
HP:0100470	MP:0000156
HP:0007928	MP:0000865
HP:0006727	MP:0010767
HP:0002853	MP:0010104
HP:0009458	MP:0001694
HP:0012574	MP:0004518
HP:0003338	MP:0012615
HP:0004395	MP:0004435
HP:0006913	MP:0009290
HP:0008231	MP:0010174
HP:0009468	MP:0002535
HP:0003812	MP:0006269
HP:0008651	MP:0011375
HP:0001973	MP:0003041
HP:0012065	MP:0004295
HP:0001620	MP:0008860
HP:0008079	MP:0000942
HP:0002476	MP:0002801
HP:0008647	MP:0012008
HP:0008323	MP:0005501
HP:0008449	MP:0011201
HP:0001194	MP:0001054
HP:0011319	MP:0003695
HP:0011226	MP:0000664
HP:0010073	MP:0004498
HP:0000907	MP:0004767
HP:0005780	MP:0008454
HP:0003455	MP:0008679
HP:0010150	MP:0006271
HP:0012270	MP:0005003
HP:0000057	MP:0008518
HP:0003002	MP:0005056
HP:0003419	MP:0008405
HP:0011888	MP:0012487
HP:0003656	MP:0009200
HP:0000274	MP:0003698
HP:0012084	MP:0005057
HP:0002204	MP:0010221
HP:0003403	MP:0000617
HP:0007825	MP:0004266
HP:0008278	MP:0011720
HP:0012260	MP:0008795
HP:0004611	MP:0004752
HP:0005267	MP:0012566
HP:0002579	MP:0003638
HP:0009343	MP:0012286
HP:0012561	MP:0011663
HP:0010092	MP:0004804
HP:0011696	MP:0011811
HP:0009234	MP:0008210
HP:0003555	MP:0011960
HP:0008666	MP:0004471
HP:0006189	MP:0005056
HP:0010655	MP:0008844
HP:0003016	MP:0011024
HP:0005590	MP:0010687
HP:0012331	MP:0009397
HP:0004825	MP:0004753
HP:0002723	MP:0004921
HP:0005910	MP:0002774
HP:0009594	MP:0000665
HP:0000997	MP:0012204
HP:0004736	MP:0000968
HP:0011607	MP:0004504
HP:0002635	MP:0001978
HP:0003966	MP:0009331
HP:0011923	MP:0010640
HP:0011533	MP:0009884
HP:0000813	MP:0006276
HP:0011086	MP:0008498
HP:0008695	MP:0009451
HP:0011213	MP:0011782
HP:0000564	MP:0011968
HP:0003208	MP:0006056
HP:0009585	MP:0011108
HP:0007916	MP:0002117
HP:0011993	MP:0004589
HP:0009515	MP:0008759
HP:0000616	MP:0000870
HP:0010335	MP:0005224
HP:0004168	MP:0012400
HP:0007260	MP:0010701
HP:0003140	MP:0009747
HP:0011612	MP:0005391
HP:0010716	MP:0004814
HP:0009938	MP:0012419
HP:0007958	MP:0003414
HP:0000001	MP:0010416
HP:0003554	MP:0001740
HP:0012102	MP:0009837
HP:0008985	MP:0001778
HP:0004931	MP:0002156
HP:0003138	MP:0005264
HP:0004953	MP:0000156
HP:0001433	MP:0011033
HP:0008116	MP:0011859
HP:0001942	MP:0011057
HP:0000064	MP:0011658
HP:0011197	MP:0012582
HP:0001093	MP:0011112
HP:0011694	MP:0012603
HP:0005684	MP:0009161
HP:0007643	MP:0004130
HP:0009452	MP:0000855
HP:0000877	MP:0003506
